age	same_sex	age_6	age_4	age_25	age_2545	age_4565	age_65	party	republican	independent	democrat	born_christian
48	0	4	3	0	0	1	0	-1	0	0	1	0
72	0	6	4	0	0	0	1	1	1	0	0	1
58	1	5	3	0	0	1	0	1	1	0	0	0
40	0	3	2	0	1	0	0	0	0	1	0	0
56	1	5	3	0	0	1	0	0	0	1	0	0
56	0	5	3	0	0	1	0	1	1	0	0	0
39	1	3	2	0	1	0	0	-1	0	0	1	0
37	1	3	2	0	1	0	0	-1	0	0	1	0
60	0	5	3	0	0	1	0	-1	0	0	1	1
61	1	5	3	0	0	1	0	0	0	1	0	1
62	1	5	3	0	0	1	0	-1	0	0	1	0
79	1	6	4	0	0	0	1	-1	0	0	1	0
48	1	4	3	0	0	1	0	-1	0	0	1	0
69	1	6	4	0	0	0	1	0	0	1	0	0
61	1	5	3	0	0	1	0	0	0	1	0	0
21	0	1	1	1	0	0	0	0	0	1	0	1
29	1	2	2	0	1	0	0	0	0	1	0	0
79	0	6	4	0	0	0	1	1	1	0	0	0
20	1	1	1	1	0	0	0	1	1	0	0	0
30	1	2	2	0	1	0	0	0	0	1	0	1
56	0	5	3	0	0	1	0	1	1	0	0	1
58	0	5	3	0	0	1	0	1	1	0	0	0
35	1	2	2	0	1	0	0	-1	0	0	1	1
81	0	6	4	0	0	0	1	1	1	0	0	0
51	1	4	3	0	0	1	0	0	0	1	0	0
76	0	6	4	0	0	0	1	-1	0	0	1	0
76	0	6	4	0	0	0	1	-1	0	0	1	0
77	0	6	4	0	0	0	1	-1	0	0	1	1
70	1	6	4	0	0	0	1	-1	0	0	1	0
89	0	6	4	0	0	0	1	-1	0	0	1	1
32	1	2	2	0	1	0	0	0	0	1	0	0
56	0	5	3	0	0	1	0	1	1	0	0	1
49	0	4	3	0	0	1	0	1	1	0	0	0
29	0	2	2	0	1	0	0	0	0	1	0	0
39	1	3	2	0	1	0	0	1	1	0	0	1
26	1	2	2	0	1	0	0	1	1	0	0	0
49	0	4	3	0	0	1	0	1	1	0	0	1
21	1	1	1	1	0	0	0	0	0	1	0	0
68	0	6	4	0	0	0	1	0	0	1	0	0
71	1	6	4	0	0	0	1	1	1	0	0	0
67	0	6	4	0	0	0	1	1	1	0	0	0
61	0	5	3	0	0	1	0	1	1	0	0	0
87	1	6	4	0	0	0	1	1	1	0	0	0
21	1	1	1	1	0	0	0	-1	0	0	1	0
49	0	4	3	0	0	1	0	-1	0	0	1	0
68	1	6	4	0	0	0	1	1	1	0	0	0
65	1	5	3	0	0	1	0	1	1	0	0	0
67	0	6	4	0	0	0	1	1	1	0	0	1
65	1	5	3	0	0	1	0	-1	0	0	1	0
66	0	6	4	0	0	0	1	-1	0	0	1	0
25	1	1	1	1	0	0	0	0	0	1	0	1
73	0	6	4	0	0	0	1	1	1	0	0	1
21	1	1	1	1	0	0	0	1	1	0	0	0
35	1	2	2	0	1	0	0	1	1	0	0	1
64	1	5	3	0	0	1	0	-1	0	0	1	0
52	1	4	3	0	0	1	0	-1	0	0	1	0
67	0	6	4	0	0	0	1	-1	0	0	1	0
35	1	2	2	0	1	0	0	-1	0	0	1	0
31	1	2	2	0	1	0	0	-1	0	0	1	0
65	1	5	3	0	0	1	0	-1	0	0	1	0
68	1	6	4	0	0	0	1	-1	0	0	1	0
33	1	2	2	0	1	0	0	-1	0	0	1	1
71	0	6	4	0	0	0	1	1	1	0	0	1
94	1	6	4	0	0	0	1	-1	0	0	1	0
79	1	6	4	0	0	0	1	-1	0	0	1	1
45	1	3	2	0	1	0	0	-1	0	0	1	0
52	1	4	3	0	0	1	0	-1	0	0	1	0
73	1	6	4	0	0	0	1	-1	0	0	1	1
46	1	4	3	0	0	1	0	-1	0	0	1	1
45	1	3	2	0	1	0	0	0	0	1	0	0
67	1	6	4	0	0	0	1	0	0	1	0	0
68	1	6	4	0	0	0	1	-1	0	0	1	0
21	1	1	1	1	0	0	0	0	0	1	0	0
63	1	5	3	0	0	1	0	1	1	0	0	0
70	0	6	4	0	0	0	1	1	1	0	0	0
21	1	1	1	1	0	0	0	1	1	0	0	1
51	0	4	3	0	0	1	0	-1	0	0	1	1
25	1	1	1	1	0	0	0	1	1	0	0	0
88	1	6	4	0	0	0	1	-1	0	0	1	0
48	0	4	3	0	0	1	0	1	1	0	0	1
68	0	6	4	0	0	0	1	1	1	0	0	1
43	1	3	2	0	1	0	0	0	0	1	0	0
50	1	4	3	0	0	1	0	-1	0	0	1	0
22	1	1	1	1	0	0	0	0	0	1	0	0
39	1	3	2	0	1	0	0	1	1	0	0	0
68	1	6	4	0	0	0	1	-1	0	0	1	0
79	0	6	4	0	0	0	1	1	1	0	0	0
36	1	3	2	0	1	0	0	1	1	0	0	0
75	1	6	4	0	0	0	1	-1	0	0	1	0
71	0	6	4	0	0	0	1	1	1	0	0	1
67	1	6	4	0	0	0	1	-1	0	0	1	0
45	0	3	2	0	1	0	0	-1	0	0	1	0
24	0	1	1	1	0	0	0	1	1	0	0	1
46	1	4	3	0	0	1	0	0	0	1	0	0
46	0	4	3	0	0	1	0	-1	0	0	1	0
69	1	6	4	0	0	0	1	-1	0	0	1	0
33	1	2	2	0	1	0	0	0	0	1	0	0
65	1	5	3	0	0	1	0	-1	0	0	1	0
52	0	4	3	0	0	1	0	-1	0	0	1	0
56	1	5	3	0	0	1	0	1	1	0	0	0
38	1	3	2	0	1	0	0	0	0	1	0	0
83	1	6	4	0	0	0	1	1	1	0	0	0
81	0	6	4	0	0	0	1	1	1	0	0	1
21	0	1	1	1	0	0	0	0	0	1	0	0
45	0	3	2	0	1	0	0	1	1	0	0	0
33	1	2	2	0	1	0	0	0	0	1	0	0
43	0	3	2	0	1	0	0	0	0	1	0	0
39	1	3	2	0	1	0	0	0	0	1	0	0
45	0	3	2	0	1	0	0	1	1	0	0	0
82	1	6	4	0	0	0	1	1	1	0	0	0
47	0	4	3	0	0	1	0	-1	0	0	1	0
88	0	6	4	0	0	0	1	1	1	0	0	0
53	1	4	3	0	0	1	0	-1	0	0	1	0
34	0	2	2	0	1	0	0	1	1	0	0	0
79	0	6	4	0	0	0	1	1	1	0	0	0
85	1	6	4	0	0	0	1	-1	0	0	1	0
48	1	4	3	0	0	1	0	1	1	0	0	1
75	1	6	4	0	0	0	1	1	1	0	0	0
43	0	3	2	0	1	0	0	0	0	1	0	1
35	0	2	2	0	1	0	0	1	1	0	0	1
83	0	6	4	0	0	0	1	1	1	0	0	1
28	0	2	2	0	1	0	0	1	1	0	0	0
70	0	6	4	0	0	0	1	1	1	0	0	0
25	1	1	1	1	0	0	0	0	0	1	0	0
74	0	6	4	0	0	0	1	1	1	0	0	1
58	0	5	3	0	0	1	0	-1	0	0	1	0
69	0	6	4	0	0	0	1	-1	0	0	1	1
22	1	1	1	1	0	0	0	1	1	0	0	0
59	1	5	3	0	0	1	0	1	1	0	0	0
53	1	4	3	0	0	1	0	-1	0	0	1	0
