"name","state","public","tier_name","sticker_price_2013","sat_avg_2013","par_median","k_median","mr_kq5_pq1","par_top1pc","scorecard_rej_rate_2013","mobility_above_average"
"Caldwell College","NJ","Private","6 Selective
private",30050,950,84300,45400,0.0251257382333279,0.0138971256092191,0.359200000762939,1
"California Baptist University","CA","Private","6 Selective
private",29422,970,82600,36200,0.0236332658678293,0.00362804951146245,0.211999997496605,1
"California Institute Of Technology","CA","Private","2 Other
elite",43362,1550,124500,83000,0.0317776873707771,0.0435955934226513,0.894500017166138,1
"California Lutheran University","CA","Private","6 Selective
private",37140,1100,110600,50900,0.0122867887839675,0.0322307273745537,0.519800007343292,0
"California Maritime Academy","CA","Public","5 Selective
public",6536,NA,113100,85800,0.0503637753427029,0.0074594053439796,0.252000004053116,1
"California Polytechnic State University","CA","Public","5 Selective
public",8918,1225,124800,65500,0.0224848575890064,0.0312039703130722,0.687699973583221,1
"California State Polytechnic University, Pomona","CA","Public","5 Selective
public",6904,1070,80200,55100,0.0683340504765511,0.00723556475713849,0.478199988603592,1
"California State University - Sacramento","CA","Public","5 Selective
public",6648,940,88700,47900,0.0333322882652283,0.00932922028005123,0.303200006484985,1
"California State University, Bakersfield","CA","Public","5 Selective
public",6792,NA,67700,46100,0.0460764802992344,0.00369671103544533,0.337399989366531,1
"California State University, Chico","CA","Public","5 Selective
public",7002,990,112200,48700,0.019584059715271,0.021921394392848,0.283899992704391,1
"California State University, Dominguez Hills","CA","Public","5 Selective
public",6139,NA,45600,40300,0.056009765714407,0.000731308828108013,0.425300002098083,1
"California State University, East Bay","CA","Public","5 Selective
public",6564,NA,86000,51300,0.0434888526797295,0.00523349130526185,0.312799990177155,1
"California State University, Fresno","CA","Public","5 Selective
public",6299,910,72400,44400,0.041856873780489,0.00853064469993114,0.418500006198883,1
"California State University, Fullerton","CA","Public","5 Selective
public",6315,1025,83300,47800,0.0479931533336639,0.00856020487844944,0.542100012302399,1
"California State University, Long Beach","CA","Public","5 Selective
public",6452,1055,85800,48800,0.0443070642650127,0.0118457600474358,0.691799998283386,1
"California State University, Los Angeles","CA","Public","5 Selective
public",6348,880,36600,43000,0.099184550344944,0.00155980908311903,0.32480001449585,1
"California State University, Monterey Bay","CA","Public","5 Selective
public",5963,NA,93200,41100,0.0338730961084366,0.0137635068967938,0.555999994277954,1
"California State University, Northridge","CA","Public","5 Selective
public",6549,915,61100,44100,0.0632485970854759,0.00670668296515942,0.537599980831146,1
"California State University, San Bernardino","CA","Public","5 Selective
public",6550,890,69800,43500,0.0439822040498257,0.00385444681160152,0.416900008916855,1
"California State University, San Marcos","CA","Public","5 Selective
public",7169,955,93600,44400,0.0209670122712851,0.022104999050498,0.374900013208389,1
"California State University, Stanislaus","CA","Public","5 Selective
public",6686,NA,72300,44800,0.0385500341653824,0.00329103390686214,0.278499990701675,1
"California University Of Pennsylvania","PA","Public","5 Selective
public",9556,935,73800,38500,0.01491963211447,0.00281264143995941,0.0731000006198883,0
"Calvin College","MI","Private","6 Selective
private",29635,1175,111500,45900,0.00982081890106201,0.0284657403826714,0.302500009536743,0
"Campbell University","NC","Private","6 Selective
private",27530,1025,69900,42700,0.0308597795665264,0.0080606322735548,0.301699995994568,1
"Campbellsville University","KY","Private","6 Selective
private",22842,909,68100,35100,0.0177511628717184,0.00653465278446674,0.315600007772446,0
"Canisius College","NY","Private","6 Selective
private",34000,1075,94200,50900,0.0236052591353655,0.0133193302899599,0.274899989366531,1
"Capital University","OH","Private","6 Selective
private",32190,1075,84100,44000,0.00913802534341812,0.0060379970818758,0.239600002765656,0
"Cardinal Stritch University","WI","Private","6 Selective
private",26570,945,88400,39100,0.0196272078901529,0.00969349499791861,0.157700002193451,1
"Carleton College","MN","Private","2 Other
elite",47736,1415,152000,51700,0.0136618930846453,0.0832535475492477,0.790499985218048,0
"Carlow University","PA","Private","6 Selective
private",26178,945,66100,37900,0.0250273905694485,0.00719319516792893,0.047800000756979,1
"Carnegie Mellon University","PA","Private","2 Other
elite",49022,1440,134400,78400,0.021873826161027,0.0638185292482376,0.745100021362305,1
"Carroll College","MT","Private","6 Selective
private",29280,1120,89700,47800,0.0182081144303083,0.022834662348032,0.469999998807907,0
"Carroll University","WI","Private","6 Selective
private",28550,1068,95000,43300,0.00641285814344883,0.0126026384532452,0.18860000371933,0
"Carson - Newman University","TN","Private","6 Selective
private",24460,1025.5,79100,36300,0.0152807254344225,0.0133056938648224,0.334300011396408,0
"Carthage College","WI","Private","6 Selective
private",36570,1080,101600,47500,0.0104033080860972,0.0217027328908443,0.298200011253357,0
"Case Western Reserve University","OH","Private","2 Other
elite",43158,1370,118200,73400,0.0178870111703873,0.0354725383222103,0.581200003623962,0
"Catawba College","NC","Private","6 Selective
private",27360,NA,94000,42000,0.0125218573957682,0.0110091054812074,0.594200015068054,0
"Catholic University Of America ","DC","Private","6 Selective
private",39726,1125,133000,57700,0.00801063701510429,0.040084183216095,0.399300009012222,0
"Cazenovia College","NY","Private","6 Selective
private",30560,NA,64200,28800,0.0125968903303146,0.00599134434014559,0.220500007271767,0
"Cedarville University","OH","Private","6 Selective
private",26420,1190,99500,37600,0.00879315007477999,0.018593667075038,0.259900003671646,0
"Centenary College","NJ","Private","6 Selective
private",30942,930,94300,35200,0.010354139842093,0.0175970420241356,0.090599998831749,0
"Centenary College Of Louisiana","LA","Private","6 Selective
private",32750,1050,100300,45400,0.0149532305076718,0.0289770569652319,0.340299993753433,0
"Central College","IA","Private","6 Selective
private",32124,1005,87700,44200,0.0093125170096755,0.0095960907638073,0.342000007629395,0
"Central Connecticut State University","CT","Public","5 Selective
public",8877,1015,93300,46600,0.014561397023499,0.00470991432666779,0.358700007200241,0
"Central Methodist University","MO","Private","6 Selective
private",21830,1050,66000,36200,0.0125318802893162,0.00123276421800256,0.349400013685226,0
"Central Michigan University","MI","Public","5 Selective
public",11165,1050.5,98300,42400,0.0103405751287937,0.00586970709264278,0.369599997997284,0
"Central State University","OH","Public","5 Selective
public",6246,800,40300,25200,0.0206600781530142,7.11184984538704e-05,0.667200028896332,1
"Central Washington University","WA","Public","5 Selective
public",9017,975,97100,45000,0.0137664908543229,0.010038604028523,0.178399994969368,0
"Centre College Of Kentucky","KY","Private","4 H. Sel.
Private",37120,1225,111000,49400,0.00691677024587989,0.0472709275782108,0.314300000667572,0
"Chaminade University Of Honolulu","HI","Private","6 Selective
private",20940,950,66600,38100,0.0342612229287624,0.00485519040375948,0.164100006222725,1
"Champlain College","VT","Private","6 Selective
private",32900,1140,85200,39200,0.0176301561295986,0.0224424302577972,0.292100012302399,0
"Chapman University","CA","Private","4 H. Sel.
Private",45393,1200,109600,47900,0.0170248672366142,0.0528092160820961,0.552900016307831,0
"Charleston Southern University","SC","Private","6 Selective
private",22840,985,70500,36900,0.0214546732604504,0.0060234097763896,0.311300009489059,1
"Chatham University","PA","Private","6 Selective
private",33429,NA,71200,31800,0.0162739530205727,0.00730835366994143,0.392300009727478,0
"Chestnut Hill College","PA","Private","6 Selective
private",32110,965,76600,38900,0.0141899306327105,0.00111178692895919,0.421499997377396,0
"Chicago State University","IL","Public","5 Selective
public",9846,NA,43700,31900,0.0365169905126095,0.00051270896801725,0.713500022888184,1
"Christian Brothers University","TN","Private","6 Selective
private",29190,NA,97600,52000,0.0264876503497362,0.0217878948897123,0.525499999523163,1
"Christopher Newport University","VA","Public","5 Selective
public",11646,1155,92500,41300,0.0108264870941639,0.00422963686287403,0.409799993038177,0
"Citadel, The Military College Of South Carolina","SC","Public","5 Selective
public",11098,1090,106800,62800,0.0196216274052858,0.0246309787034988,0.195899993181229,1
"City College Of New York - CUNY","NY","Public","5 Selective
public",6389,1130,35500,48500,0.117237471044064,0.00233515491709113,0.658999979496002,1
"Claflin University","SC","Private","6 Selective
private",15010,790,35400,33600,0.0359194427728653,0.000869950279593468,0.474000006914139,1
"Claremont Mckenna College","CA","Private","2 Other
elite",47395,1435,142000,69900,0.029592476785183,0.133832007646561,0.882700026035309,1
"Clarion University Of Pennsylvania","PA","Public","5 Selective
public",9788,930,75500,38100,0.0105212749913335,0.00197673891671002,0.065200001001358,0
"Clark Atlanta University","GA","Private","6 Selective
private",21334,850,54500,35200,0.0330004245042801,0.00310751190409064,0.432000011205673,1
