age	same_sex	age_6	age_4	age_25	age_2545	age_4565	age_65	party	republican	independent	democrat	born_christian	retire	old_republican	gop_age	party2	same_sex2	same_sex3	same_sex4	same_sex5	same_sex6
41	1	3	2	0	1	0	0	1	1	0	0	1	0	1	41	2	1	1	1	1	1
62	0	5	3	0	0	1	0	1	1	0	0	1	0	1	62	2	0	0	0	1	0
61	1	5	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
27	1	2	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
43	1	3	2	0	1	0	0	1	1	0	0	0	0	1	43	2	1	1	1	1	1
77	0	6	4	0	0	0	1	1	1	0	0	0	1	1	77	2	1	0	0	1	0
40	1	3	2	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1
44	1	3	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
23	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1
48	0	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0
72	0	6	4	0	0	0	1	1	1	0	0	1	1	1	72	2	1	0	0	1	0
58	1	5	3	0	0	1	0	1	1	0	0	0	0	1	58	2	1	0	0	1	1
40	0	3	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1
56	1	5	3	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1
56	0	5	3	0	0	1	0	1	1	0	0	0	0	1	56	2	0	0	0	1	0
39	1	3	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
37	1	3	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
60	0	5	3	0	0	1	0	-1	0	0	1	1	0	0	0	0	0	0	0	0	0
61	1	5	3	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1
62	1	5	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
79	1	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
48	1	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
69	1	6	4	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	1
61	1	5	3	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1
21	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1
29	1	2	2	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1
79	0	6	4	0	0	0	1	1	1	0	0	0	1	1	79	2	1	0	0	1	0
20	1	1	1	1	0	0	0	1	1	0	0	0	0	0	20	2	1	1	1	1	1
30	1	2	2	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1
56	0	5	3	0	0	1	0	1	1	0	0	1	0	1	56	2	0	0	0	1	0
58	0	5	3	0	0	1	0	1	1	0	0	0	0	1	58	2	0	0	0	1	0
35	1	2	2	0	1	0	0	-1	0	0	1	1	0	0	0	0	1	1	1	1	1
81	0	6	4	0	0	0	1	1	1	0	0	0	1	1	81	2	1	0	0	1	0
51	1	4	3	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1
76	0	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	0	0	0
76	0	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	0	0	0
77	0	6	4	0	0	0	1	-1	0	0	1	1	1	0	0	0	1	0	0	0	0
70	1	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
89	0	6	4	0	0	0	1	-1	0	0	1	1	1	0	0	0	1	0	0	0	0
32	1	2	2	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1
56	0	5	3	0	0	1	0	1	1	0	0	1	0	1	56	2	0	0	0	1	0
49	0	4	3	0	0	1	0	1	1	0	0	0	0	1	49	2	0	0	0	1	0
29	0	2	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1
39	1	3	2	0	1	0	0	1	1	0	0	1	0	1	39	2	1	1	1	1	1
26	1	2	2	0	1	0	0	1	1	0	0	0	0	1	26	2	1	1	1	1	1
49	0	4	3	0	0	1	0	1	1	0	0	1	0	1	49	2	0	0	0	1	0
21	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1
68	0	6	4	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	1
71	1	6	4	0	0	0	1	1	1	0	0	0	1	1	71	2	1	0	0	1	1
67	0	6	4	0	0	0	1	1	1	0	0	0	1	1	67	2	1	0	0	1	0
61	0	5	3	0	0	1	0	1	1	0	0	0	0	1	61	2	0	0	0	1	0
87	1	6	4	0	0	0	1	1	1	0	0	0	1	1	87	2	1	0	0	1	1
21	1	1	1	1	0	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
49	0	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0
68	1	6	4	0	0	0	1	1	1	0	0	0	1	1	68	2	1	0	0	1	1
65	1	5	3	0	0	1	0	1	1	0	0	0	1	1	65	2	1	0	0	1	1
67	0	6	4	0	0	0	1	1	1	0	0	1	1	1	67	2	1	0	0	1	0
65	1	5	3	0	0	1	0	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
66	0	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	0	0	0
25	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1
73	0	6	4	0	0	0	1	1	1	0	0	1	1	1	73	2	1	0	0	1	0
21	1	1	1	1	0	0	0	1	1	0	0	0	0	0	21	2	1	1	1	1	1
35	1	2	2	0	1	0	0	1	1	0	0	1	0	1	35	2	1	1	1	1	1
64	1	5	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
52	1	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
67	0	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	0	0	0
35	1	2	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
31	1	2	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
65	1	5	3	0	0	1	0	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
68	1	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
33	1	2	2	0	1	0	0	-1	0	0	1	1	0	0	0	0	1	1	1	1	1
71	0	6	4	0	0	0	1	1	1	0	0	1	1	1	71	2	1	0	0	1	0
94	1	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
79	1	6	4	0	0	0	1	-1	0	0	1	1	1	0	0	0	1	0	1	1	1
45	1	3	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
52	1	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
73	1	6	4	0	0	0	1	-1	0	0	1	1	1	0	0	0	1	0	1	1	1
46	1	4	3	0	0	1	0	-1	0	0	1	1	0	0	0	0	1	0	1	1	1
45	1	3	2	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1
67	1	6	4	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	1
